"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","entrezid"
"ENSMUSG00000083621",670.597642266775,0.0820436878354376,0.178818650646226,0.458809456054742,0.646371003664527,0.998922454474621,"Gm14586","100041925"
"ENSMUSG00000083623",1.42451266240466,-0.603011911990465,3.62052376425698,-0.166553778197398,0.867721165228263,NA,NA,NA
"ENSMUSG00000083626",598.022768233795,-0.0589887949047804,0.337054521391378,-0.175012620098587,0.861069717226699,0.998922454474621,NA,NA
"ENSMUSG00000083640",18.2433114947202,-0.173903522399965,0.932787963707893,-0.186434140625793,0.852104321380732,0.998922454474621,NA,NA
"ENSMUSG00000083642",1.11997565903363,3.57550916952821,3.94539892483355,0.906247818699108,0.364804697968266,NA,NA,NA
"ENSMUSG00000083646",9.71574378246559,0.399398129174358,1.912702961571,0.208813463040969,0.834593861024818,0.998922454474621,NA,NA
"ENSMUSG00000083649",4.2970592045317,5.52308570188658,3.9168215977373,1.41009376201285,0.158511998970204,NA,"Rasl2-9","19428"
"ENSMUSG00000083668",47.6735205930264,-1.02654613751211,1.40231678116948,-0.732035836193878,0.464146695016095,0.978760431648734,NA,NA
"ENSMUSG00000083669",501.207577107802,0.320270868727348,0.223158801272231,1.43517023259437,0.151238593916021,0.752687685354832,NA,NA
"ENSMUSG00000083670",606.193571456432,-0.206646924257339,0.211049822721661,-0.979138108681907,0.32751174424475,0.93414417376608,NA,NA
"ENSMUSG00000083674",4.27910136774082,2.84156659411156,3.82569188332047,0.742758873630265,0.457627678715389,NA,NA,NA
"ENSMUSG00000083678",750.271714449206,-0.238406239977258,0.252982341193268,-0.94238293017901,0.345996623390707,0.936782970900421,NA,NA
"ENSMUSG00000083679",1420.2240391361,0.0409294062973003,0.17902796549006,0.228620183362207,0.819164135941197,0.998922454474621,NA,NA
"ENSMUSG00000083681",3.12162485323673,0.374103669740055,2.2727065975202,0.164607112131521,0.869253232913681,NA,NA,NA
"ENSMUSG00000083688",228.481836730628,0.0121059486681785,0.314793270479547,0.038456821677721,0.96932345730733,0.999884473550494,NA,NA
"ENSMUSG00000083692",1917.19269004964,-0.0280646177167734,0.148322624993121,-0.189213329511091,0.849925620928099,0.998922454474621,NA,NA
"ENSMUSG00000083700",21.1551557533827,0.28009608546311,1.63134049706126,0.171696887294641,0.863675833053525,0.998922454474621,NA,NA
"ENSMUSG00000083705",1.99565284644227,-0.0442521752371325,2.63811849977537,-0.0167741423445916,0.986616798414852,NA,"Gm8624","667423"
"ENSMUSG00000083708",99.1783446049152,-0.263535762921647,0.61169585923505,-0.430828096909482,0.66659336827848,0.998922454474621,NA,NA
"ENSMUSG00000083713",1.51033383409441,-0.36488315142156,2.3959035995482,-0.15229458793349,0.878954593334515,NA,NA,NA
"ENSMUSG00000083716",593.28516768583,-0.147356078973281,0.207183669980383,-0.71123404169466,0.476939216883927,0.980221832258439,NA,NA
"ENSMUSG00000083718",21.4239112095011,-0.755129475470422,1.66959056148541,-0.452284226378589,0.651064237824465,0.998922454474621,NA,NA
"ENSMUSG00000083725",51.4598092686902,0.177172988907799,0.632896208156207,0.279940038547475,0.779523508455509,0.998922454474621,NA,NA
"ENSMUSG00000083732",4.03034356785985,-5.5122052939273,3.91793245676166,-1.40691687637805,0.159452038643273,NA,NA,NA
"ENSMUSG00000083734",6.99058267942273,-0.829965017481241,2.61511586296065,-0.317372178126599,0.750961215468855,NA,NA,NA
"ENSMUSG00000083736",59.8344479666403,-0.166812622245614,0.573596704362954,-0.290818655296981,0.771190016851794,0.998922454474621,NA,NA
"ENSMUSG00000083745",7.15382044023807,0.0448724012768261,3.75074119362654,0.0119636090469467,0.990454648751582,NA,NA,NA
"ENSMUSG00000083750",2.85108913210266,-5.01291469836723,3.92254122175871,-1.27797629520376,0.20125778460246,NA,NA,NA
"ENSMUSG00000083754",2.33346597517169,1.30941553345923,2.08735189530653,0.627309432781068,0.530456421420631,NA,NA,NA
"ENSMUSG00000083757",5.12427392383815,-0.197096053657481,1.76819030262631,-0.111467670286808,0.911245501175781,NA,NA,NA
"ENSMUSG00000083761",1.55484588656019,-1.60583733149992,3.43099274659907,-0.468038684457053,0.639756925885021,NA,NA,NA
"ENSMUSG00000083767",462.080099278986,-0.154024697282179,0.235534511217665,-0.65393685403427,0.513152489018935,0.986244732975751,NA,NA
"ENSMUSG00000083773",1.49527719394287,0.30401826241764,3.66104957723774,0.0830412852936621,0.933818712042746,NA,NA,NA
"ENSMUSG00000083774",708.264474617359,-0.0961767264280209,0.242583113748245,-0.396469172738189,0.691758945188598,0.998922454474621,NA,NA
"ENSMUSG00000083780",1.20578654215275,-1.25228004884155,3.10909543445452,-0.402779546412108,0.687110409181394,NA,NA,NA
"ENSMUSG00000083782",1.49330087871151,3.99275486062117,3.9357383805262,1.01448685725075,0.310350497563863,NA,NA,NA
"ENSMUSG00000083793",53.7631275327789,0.103613265480385,0.600837349483866,0.17244811024047,0.863085252155697,0.998922454474621,NA,NA
"ENSMUSG00000083796",0.33586196398832,-1.92862463612276,4.03860612164473,-0.47754709868496,0.63297259088626,NA,NA,NA
"ENSMUSG00000083798",377.0300236191,-0.318864992419925,0.296866828906326,-1.07410111663415,0.282777364153818,0.901925519945262,NA,NA
"ENSMUSG00000083808",1.00062615678916,3.43725563725318,3.94925942207522,0.870354481663047,0.384106713799405,NA,NA,NA
"ENSMUSG00000083811",14.8791670804215,0.183810282221294,1.47508787067554,0.124609717072051,0.900832535251746,0.998922454474621,NA,NA
"ENSMUSG00000083813",152.075419895278,0.074306530042068,0.361101462964616,0.205777427297073,0.836964774259032,0.998922454474621,NA,NA
"ENSMUSG00000083816",228.087309843721,-0.422030380016635,0.591602732799754,-0.71336786768949,0.475618151078733,0.980221832258439,NA,NA
"ENSMUSG00000083819",144.410760162777,0.0638258567851251,0.599698676448399,0.106429877689779,0.915241288727435,0.998945866130134,NA,NA
"ENSMUSG00000083820",258.23479672631,-0.196402803827453,0.302689181149347,-0.648859675399327,0.516429081156659,0.987467610820484,NA,NA
"ENSMUSG00000083822",20.8455222093643,0.242556367141731,0.932409764869412,0.26013923950668,0.794756370816828,0.998922454474621,NA,NA
"ENSMUSG00000083823",0.955856410113214,2.11560257911694,3.96119917589332,0.534081343849578,0.593285256605791,NA,NA,NA
"ENSMUSG00000083826",3.86285738506408,-5.45013157409916,3.91842271932672,-1.39089933998638,0.164255952996691,NA,NA,NA
"ENSMUSG00000083827",4.56519509143937,-5.69124143135207,3.91663074187642,-1.45309624685871,0.146197032983792,NA,NA,NA
"ENSMUSG00000083829",530.382038037074,-0.398092184171088,0.300587880818635,-1.32437869113986,0.185377307907779,0.804363805396354,NA,NA
