"","OB1","OB3","OB4","YB1","YB3","YB4"
"ENSMUSG00000002266",0,0,0,0,0,0
"ENSMUSG00000002274",6,18,16,6,11,18
"ENSMUSG00000002279",1189,965,1342,837,1151,1340
"ENSMUSG00000002280",704,947,1062,1026,848,1159
"ENSMUSG00000002289",3575,1293,3023,3464,2857,3223
"ENSMUSG00000002297",0,188,373,442,184,399
"ENSMUSG00000002307",1895,1521,2380,1445,2174,1528
"ENSMUSG00000002308",2998,2169,2855,2645,3902,3325
"ENSMUSG00000002319",1883,1358,3254,2178,1901,2214
"ENSMUSG00000002320",3221,2968,5596,3115,4406,3737
"ENSMUSG00000002324",307,217,658,137,160,105
"ENSMUSG00000002325",7551,5928,9285,7887,8766,8016
"ENSMUSG00000002326",1416,1545,2076,2333,2197,2026
"ENSMUSG00000002329",2481,2290,3237,2706,2886,2703
"ENSMUSG00000002332",1528,1479,2878,1508,2691,1642
"ENSMUSG00000002341",16,9,0,29,0,21
"ENSMUSG00000002342",2581,2292,3420,3011,2888,3090
"ENSMUSG00000002343",650,339,420,754,560,272
"ENSMUSG00000002345",390,331,738,289,618,456
"ENSMUSG00000002346",1005,798,1503,983,1152,1195
"ENSMUSG00000002365",2957,2697,5507,3302,3279,3362
"ENSMUSG00000002372",2793,3268,5189,3907,4128,3498
"ENSMUSG00000002379",1153,851,1186,1013,1175,1124
"ENSMUSG00000002384",0,0,17,0,0,0
"ENSMUSG00000002393",1573,1005,1238,1716,2360,1765
"ENSMUSG00000002395",1109,1017,1631,1245,1010,1126
"ENSMUSG00000002396",1377,1063,1303,567,1079,1290
"ENSMUSG00000002409",651,549,1030,706,1159,843
"ENSMUSG00000002413",1865,1956,2466,1670,2110,2686
"ENSMUSG00000002416",434,548,1228,299,346,276
"ENSMUSG00000002428",1571,1812,3434,1921,1818,2918
"ENSMUSG00000002455",4867,4118,6827,4684,5376,5247
"ENSMUSG00000002458",860,788,1035,1035,1207,873
"ENSMUSG00000002459",0,0,0,0,0,19
"ENSMUSG00000002475",116,330,580,296,320,141
"ENSMUSG00000002477",486,364,407,472,425,427
"ENSMUSG00000002486",184,384,663,733,552,510
"ENSMUSG00000002489",929,1177,1666,1325,2017,1973
"ENSMUSG00000002496",5549,4688,8341,3365,3439,5678
"ENSMUSG00000002500",0,15,0,17,0,15
"ENSMUSG00000002504",101865,64652,110334,114664,100149,84560
"ENSMUSG00000002524",11246,9976,16016,12808,13581,11863
"ENSMUSG00000002546",1374,2398,4822,2943,1662,3065
"ENSMUSG00000002550",850,993,1136,1108,978,844
"ENSMUSG00000002565",0,68,286,0,11,181
"ENSMUSG00000002578",0,20,35,16,0,32
"ENSMUSG00000002580",530,372,589,439,445,380
"ENSMUSG00000002588",0,0,0,0,0,0
"ENSMUSG00000002602",3363,1523,4434,3573,2721,3469
"ENSMUSG00000002603",2306,1539,2807,2021,1627,2126
"ENSMUSG00000002608",3433,1702,3475,3957,3957,3114
"ENSMUSG00000002617",933,665,878,918,521,642
"ENSMUSG00000002625",6266,6526,9663,7427,5900,6662
"ENSMUSG00000002633",0,0,0,0,0,0
"ENSMUSG00000002635",982,767,1465,868,1223,635
"ENSMUSG00000002658",2223,2230,3442,2463,2428,2973
"ENSMUSG00000002660",1376,1002,1887,1430,1311,1240
"ENSMUSG00000002661",292,220,305,420,372,318
"ENSMUSG00000002664",45,7,12,43,42,6
"ENSMUSG00000002668",0,0,0,0,0,0
"ENSMUSG00000002679",918,1031,1152,1002,1031,856
"ENSMUSG00000002688",824,1296,1785,1025,1253,1702
"ENSMUSG00000002699",0,66,97,0,106,110
"ENSMUSG00000002718",2999,3402,4396,3517,2312,3453
"ENSMUSG00000002728",1534,1104,1297,1543,1683,1439
"ENSMUSG00000002731",907,508,615,743,884,699
"ENSMUSG00000002732",1137,1132,1494,1099,1324,1047
"ENSMUSG00000002733",5018,4697,5652,4144,4797,4706
"ENSMUSG00000002741",3088,2050,3491,2491,3480,3323
"ENSMUSG00000002748",4067,2899,4704,3025,1708,3823
"ENSMUSG00000002763",4622,1968,4719,2850,3737,3751
"ENSMUSG00000002767",1203,1179,1371,934,1586,1234
"ENSMUSG00000002768",1889,1495,2179,1881,1904,2033
"ENSMUSG00000002769",26,0,0,0,0,19
"ENSMUSG00000002771",300,181,305,5,198,238
"ENSMUSG00000002778",3650,2909,5489,4108,4754,3459
"ENSMUSG00000002781",227,228,348,132,247,105
"ENSMUSG00000002791",27,0,4,0,0,0
"ENSMUSG00000002797",562,150,270,78,159,444
"ENSMUSG00000002799",21620,18252,29834,22578,18387,19522
"ENSMUSG00000002803",1092,1242,2330,1017,1102,1594
"ENSMUSG00000002804",1300,1062,1701,835,1516,1110
"ENSMUSG00000002808",417,337,886,335,526,657
"ENSMUSG00000002812",11207,9982,14998,11640,12183,12840
"ENSMUSG00000002814",948,608,997,1071,587,549
"ENSMUSG00000002820",1377,1190,1432,1385,1583,1240
"ENSMUSG00000002825",586,316,453,543,725,660
"ENSMUSG00000002831",40,68,155,152,60,56
"ENSMUSG00000002833",3042,2835,4385,3675,3332,3847
"ENSMUSG00000002835",0,171,254,58,234,91
"ENSMUSG00000002844",3493,2558,4225,2728,3994,2722
"ENSMUSG00000002845",1179,910,1325,1521,1147,1257
"ENSMUSG00000002846",94,32,24,55,57,49
"ENSMUSG00000002847",377,99,159,134,146,282
"ENSMUSG00000002870",969,1181,2093,711,1785,1178
"ENSMUSG00000002871",4801,3995,6439,5137,5741,5681
"ENSMUSG00000002881",5630,5422,10467,7502,6433,6329
