"","nGene","nUMI","orig.ident","percent.mito","CellType","Collagenase_dependent1","res.0.6"
"Cell_128",1612,3071,"Cell",0,"Young",-0.390696533585668,"3"
"Cell_129",1102,1869,"Cell",0,"Young",0.157008840765018,"3"
"Cell_130",2019,4296,"Cell",0,"Young",0.131710587194018,"9"
"Cell_131",1221,2331,"Cell",0,"Young",-0.121337551125219,"1"
"Cell_132",812,1201,"Cell",0,"Young",-0.4370493123537,"0"
"Cell_133",960,1594,"Cell",0,"Young",-0.0233510394601858,"2"
"Cell_134",1164,2069,"Cell",0,"Young",-0.262754101976063,"0"
"Cell_135",912,1302,"Cell",0,"Young",-0.0720261493212275,"0"
"Cell_136",774,1131,"Cell",0,"Young",-0.344805994640814,"3"
"Cell_137",1599,3637,"Cell",0,"Young",0.947502169476306,"6"
"Cell_138",1608,3154,"Cell",0,"Young",-0.204122077066034,"3"
"Cell_139",908,1632,"Cell",0,"Young",-0.409616178328098,"4"
"Cell_140",2076,4682,"Cell",0,"Young",-0.2438526191858,"1"
"Cell_141",1211,2455,"Cell",0,"Young",-0.233379087141205,"0"
"Cell_142",1230,2142,"Cell",0,"Young",-0.085997774969668,"2"
"Cell_143",1695,3266,"Cell",0,"Young",-0.226436485781788,"7"
"Cell_144",974,1920,"Cell",0,"Young",0.121844141979874,"2"
"Cell_145",617,930,"Cell",0,"Young",0.0634500335030365,"2"
"Cell_146",953,1483,"Cell",0,"Young",-0.353456488841875,"0"
"Cell_147",694,1054,"Cell",0,"Young",0.0367706499148744,"2"
"Cell_148",763,1192,"Cell",0,"Young",0.179307366432432,"2"
"Cell_149",1101,1822,"Cell",0,"Young",-0.0156034660702342,"4"
"Cell_150",981,1691,"Cell",0,"Young",0.898898475628993,"2"
"Cell_151",884,1351,"Cell",0,"Young",-0.13755668287139,"0"
"Cell_152",790,1234,"Cell",0,"Young",-0.283188677505516,"3"
"Cell_153",1127,1877,"Cell",0,"Young",0.0985890568299577,"2"
"Cell_154",617,909,"Cell",0,"Young",0.175648659783068,"0"
"Cell_155",1346,2291,"Cell",0,"Young",-0.272522966813292,"1"
"Cell_156",1854,4110,"Cell",0,"Young",-0.0835847433210024,"5"
"Cell_157",1165,1970,"Cell",0,"Young",0.332555211112759,"6"
"Cell_158",1226,2136,"Cell",0,"Young",0.0921905732158743,"1"
"Cell_159",1164,2026,"Cell",0,"Young",-0.295733991464505,"3"
"Cell_160",1844,3660,"Cell",0,"Young",-0.0234017255747396,"5"
"Cell_161",1055,2083,"Cell",0,"Young",0.98578890091415,"6"
"Cell_162",2348,5158,"Cell",0,"Young",0.235120774033993,"7"
"Cell_163",696,1134,"Cell",0,"Young",0.860530444237241,"2"
"Cell_164",1364,2471,"Cell",0,"Young",0.425608601071332,"7"
