"","OK1","OK1_2","OK3","OK4","YK1","YK3","YK4"
"ENSMUSG00000002190",0,0,0,0,0,0,0
"ENSMUSG00000002204",500,468,117,663,139,416,141
"ENSMUSG00000002205",2447,2380,2001,2437,2684,2644,2772
"ENSMUSG00000002210",995,958,1417,1318,1242,1209,933
"ENSMUSG00000002221",2303,2141,2576,2577,2350,2222,2229
"ENSMUSG00000002222",2282,2138,2525,3269,2671,2162,2547
"ENSMUSG00000002227",1450,1387,1430,1122,1251,960,1546
"ENSMUSG00000002228",860,814,653,615,732,469,1215
"ENSMUSG00000002233",7517,7093,6781,5639,5648,5467,5476
"ENSMUSG00000002240",0,0,0,0,0,0,0
"ENSMUSG00000002249",116,86,52,144,222,91,157
"ENSMUSG00000002250",35,35,45,18,7,119,40
"ENSMUSG00000002257",628,575,516,667,682,918,486
"ENSMUSG00000002265",1956,1789,1222,1398,1057,801,2067
"ENSMUSG00000002266",0,0,0,0,0,0,0
"ENSMUSG00000002274",5,5,18,11,20,19,14
"ENSMUSG00000002279",1057,970,1077,1284,1565,1441,1495
"ENSMUSG00000002280",1407,1217,1149,1989,1704,1547,1973
"ENSMUSG00000002289",1950,1842,1653,1572,902,1578,1540
"ENSMUSG00000002297",327,299,139,230,0,40,379
"ENSMUSG00000002307",3000,2852,1747,2263,2647,2131,2961
"ENSMUSG00000002308",760,718,626,613,994,941,997
"ENSMUSG00000002319",3272,3069,2186,2009,2251,2597,2045
"ENSMUSG00000002320",4186,3982,3802,4498,4272,3744,4917
"ENSMUSG00000002324",36,40,199,261,201,459,295
"ENSMUSG00000002325",7780,7100,5251,5065,8214,5800,8673
"ENSMUSG00000002326",1907,1788,1597,1848,2033,1524,2138
"ENSMUSG00000002329",2301,2181,2137,2403,2317,2469,2214
"ENSMUSG00000002332",1361,1266,1630,2188,2250,2292,1670
"ENSMUSG00000002341",0,0,0,0,0,0,0
"ENSMUSG00000002342",2623,2544,2614,3032,3187,2065,2802
"ENSMUSG00000002343",427,331,438,782,631,209,712
"ENSMUSG00000002345",450,372,393,396,630,489,556
"ENSMUSG00000002346",837,833,655,1294,908,862,1327
"ENSMUSG00000002365",6939,6573,5839,5220,5875,5716,4814
"ENSMUSG00000002372",3849,3550,3792,3015,3198,3833,3765
"ENSMUSG00000002379",1435,1233,1790,1775,2204,2004,1931
"ENSMUSG00000002384",0,0,0,0,0,0,0
"ENSMUSG00000002393",3141,2924,2351,2924,3626,2907,2931
"ENSMUSG00000002395",1064,1115,1217,1280,1324,1267,1466
"ENSMUSG00000002396",1367,1345,1319,1441,712,816,1618
