"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Synm",0.0289457348610738,-0.302777983832937,0.061,0.116,1
"Adgrl2",0.0290496030936608,0.301197927079779,0.115,0.051,1
"Rpl4",0.0293344665575234,-0.252788008844947,0.706,0.696,1
"Wwc2",0.0309303405232609,-0.417945249584121,0.063,0.116,1
"Tex261",0.0310201395018484,0.257212169263101,0.188,0.109,1
"Pnp",0.0312760912286507,0.296102255341494,0.131,0.065,1
"Clic4",0.0323239625347045,-0.309322019985451,0.28,0.355,1
"Fos",0.0328235714473527,0.272933553995585,0.358,0.246,1
"Dnajb9",0.0330001038228781,0.280878516720783,0.121,0.058,1
"Fam53b",0.0343156888289435,0.308740748220469,0.11,0.051,1
"Gm9843",0.0348835023146548,-0.289031175784193,0.556,0.543,1
"B230219D22Rik",0.0351877200800851,0.260526141962276,0.233,0.152,1
"Usp4",0.0355660593243282,0.284001060711091,0.11,0.051,1
"H2-T22",0.0374159225571304,-0.478688679807972,0.213,0.275,1
"Mplkip",0.0380062902118469,-0.395212491342798,0.065,0.116,1
"Rpn1",0.0382684194563341,0.292309567564232,0.129,0.065,1
"Kcnq1ot1",0.0386357638771212,0.272545850073891,0.184,0.109,1
"Ptp4a2",0.0387445946190926,0.298690255068454,0.127,0.065,1
"Erg",0.0387998583801493,0.268809144881758,0.147,0.08,1
"Cd38",0.039293362482114,0.263592291681458,0.311,0.225,1
"Rgs3",0.0402607028464457,-0.261337150409485,0.211,0.29,1
"Vwa3a",0.0406914371541226,-0.306453808711514,0.063,0.116,1
"Bcl6b",0.0408526041926878,-0.394176464012336,0.11,0.167,1
"Eepd1",0.0414488091286492,0.259690491292927,0.19,0.116,1
"Bcas2",0.0415907799911182,0.257310945104805,0.155,0.087,1
"C1galt1c1",0.0420057528510986,-0.340562758182651,0.067,0.116,1
"Chd3",0.042336628905721,-0.282362942558298,0.059,0.109,1
"Wdr89",0.0428715165510008,-0.315656865594145,0.419,0.464,1
"Foxp1",0.0429775754465846,0.252245623158059,0.239,0.152,1
"Plat",0.043379996221453,-0.29902751662019,0.225,0.297,1
"Mzt1",0.0433875850221228,-0.262286308170018,0.065,0.116,1
"Rhob",0.0434184286167352,0.289892798764384,0.252,0.167,1
"Mapk1",0.0434356006293428,0.259663449318343,0.127,0.065,1
"Zbtb46",0.0449642223534556,0.255923044179124,0.127,0.065,1
"Alg5",0.0465824522149219,-0.32780735152489,0.108,0.167,1
"Becn1",0.0482589908732831,-0.323360702842791,0.086,0.138,1
"Gm26699",0.0493185080108965,-0.26106097709068,0.129,0.196,1
"Akr1c14",0.0494822154906946,0.27230016374813,0.104,0.051,1
"Prdx6",0.0506050392321696,0.253223196096602,0.125,0.065,1
"AY036118",0.0513080657897942,-0.362691542797353,0.115,0.174,1
"Med10",0.0522922340971514,-0.309332685586293,0.117,0.174,1
"Hexa",0.0522945061634077,0.267778150546009,0.151,0.087,1
"Sepw1",0.0551396041834894,-0.2502862038775,0.681,0.681,1
"Comt",0.055352261042079,0.289427658276205,0.131,0.072,1
"Srrm1",0.0562210208075659,-0.335886354308607,0.166,0.232,1
"Acin1",0.0598348054962071,-0.354465199488818,0.137,0.196,1
